"COD UNIDADE ORGANIZACIONAL";"DESCRICAO UNIDADE ORGANIZACIONAL";"VP";"DIRETORIA";"AREA ATENDIMENTO"
"3055";"TMO - 126 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3334";"ROS - 324 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2119";"EQUIPE SPI";"VP COMERCIAL";"VENDAS";""
"2778";"ROS - 334 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"3744";"ROS - 474 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"2544";"ROS - 448 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES VAREJO";""
"1723";"DF EQUIPE LINHA 3 - T1";"PRESIDENCIA";"LOGISTICA";""
"1470";"SUP BLOQ";"PRESIDENCIA";"FINANCEIRO DISTRIBUICAO";""
"3074";"TMO - 132 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"130";"COORD BP VP CORPORATIVA";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"3366";"ROS - 469 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES LOJAS";""
"1445";"EQUIPES SPC 7";"VP COMERCIAL";"VENDAS";""
"1782";"PR ENCARREGADO CONFERENCIA - T3";"PRESIDENCIA";"LOGISTICA";""
"1510";"EQUIPE AUTOMACAO CD RJ";"PRESIDENCIA";"LOGISTICA";""
"2053";"EQUIPES MT 2";"VP COMERCIAL";"VENDAS";""
"2897";"TMO - 127 - SUBGERENTE/LIDER";"VP VAREJO";"OPERACOES VAREJO";""
"2524";"ROS - 314 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2274";"DML - 80 - SUBGERENTE";"VP VAREJO";"OPERACOES LOJAS";""
"2469";"DML - 10 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3156";"DML - 54 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"3509";"DML - 632 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2604";"ROS - 349 - GER FARMACEUTICO/LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"2393";"DML - 617 - EQUIPE LOJA";"VP VAREJO";"OPERACOES LOJAS";""
"1442";"RJ SUP CGG";"PRESIDENCIA";"CULTURA E GESTAO DE GENTE";""
"1879";"BA EQUIPE RECEBIMENTO/ARMAZENAGEM - T1";"PRESIDENCIA";"LOGISTICA";""
